Open TCP Ports with Services:
Port 631 (TCP) is Open, Service: Unknown
Port 44659 (TCP) is Open, Service: Unknown
Open UDP Ports with Services:
Port 2 (UDP) is Open, Service: Unknown
Port 5 (UDP) is Open, Service: Unknown
Port 8 (UDP) is Open, Service: Unknown
Port 31 (UDP) is Open, Service: Unknown
Port 24 (UDP) is Open, Service: Unknown
Port 6 (UDP) is Open, Service: Unknown
Port 116 (UDP) is Open, Service: Unknown
Port 20 (UDP) is Open, Service: Unknown
Port 29 (UDP) is Open, Service: Unknown
Port 26 (UDP) is Open, Service: Unknown
Port 18 (UDP) is Open, Service: Unknown
Port 158 (UDP) is Open, Service: Unknown
Port 207 (UDP) is Open, Service: Unknown
Port 27 (UDP) is Open, Service: Unknown
Port 209 (UDP) is Open, Service: Unknown
Port 208 (UDP) is Open, Service: Unknown
Port 210 (UDP) is Open, Service: Unknown
Port 211 (UDP) is Open, Service: Unknown
Port 212 (UDP) is Open, Service: Unknown
Port 176 (UDP) is Open, Service: Unknown
Port 213 (UDP) is Open, Service: Unknown
Port 22 (UDP) is Open, Service: Unknown
Port 214 (UDP) is Open, Service: Unknown
Port 215 (UDP) is Open, Service: Unknown
Port 216 (UDP) is Open, Service: Unknown
Port 218 (UDP) is Open, Service: Unknown
Port 12 (UDP) is Open, Service: Unknown
Port 220 (UDP) is Open, Service: Unknown
Port 221 (UDP) is Open, Service: Unknown
Port 223 (UDP) is Open, Service: Unknown
Port 224 (UDP) is Open, Service: Unknown
Port 225 (UDP) is Open, Service: Unknown
Port 226 (UDP) is Open, Service: Unknown
Port 227 (UDP) is Open, Service: Unknown
Port 229 (UDP) is Open, Service: Unknown
Port 233 (UDP) is Open, Service: Unknown
Port 234 (UDP) is Open, Service: Unknown
Port 235 (UDP) is Open, Service: Unknown
Port 179 (UDP) is Open, Service: Unknown
Port 170 (UDP) is Open, Service: Unknown
Port 15 (UDP) is Open, Service: Unknown
Port 118 (UDP) is Open, Service: Unknown
Port 238 (UDP) is Open, Service: Unknown
Port 239 (UDP) is Open, Service: Unknown
Port 240 (UDP) is Open, Service: Unknown
Port 40 (UDP) is Open, Service: Unknown
Port 241 (UDP) is Open, Service: Unknown
Port 165 (UDP) is Open, Service: Unknown
Port 36 (UDP) is Open, Service: Unknown
Port 174 (UDP) is Open, Service: Unknown
Port 120 (UDP) is Open, Service: Unknown
Port 181 (UDP) is Open, Service: Unknown
Port 247 (UDP) is Open, Service: Unknown
Port 249 (UDP) is Open, Service: Unknown
Port 194 (UDP) is Open, Service: Unknown
Port 250 (UDP) is Open, Service: Unknown
Port 251 (UDP) is Open, Service: Unknown
Port 13 (UDP) is Open, Service: Unknown
Port 253 (UDP) is Open, Service: Unknown
Port 254 (UDP) is Open, Service: Unknown
Port 10 (UDP) is Open, Service: Unknown
Port 256 (UDP) is Open, Service: Unknown
Port 34 (UDP) is Open, Service: Unknown
Port 141 (UDP) is Open, Service: Unknown
Port 257 (UDP) is Open, Service: Unknown
Port 196 (UDP) is Open, Service: Unknown
Port 172 (UDP) is Open, Service: Unknown
Port 205 (UDP) is Open, Service: Unknown
Port 38 (UDP) is Open, Service: Unknown
